type,page,score,H,A,L,B,ingredient_en,ingredient_zh,remarks_en,remarks_zh
item,4,ytilibitapmoC,enimatsiH,senima rehtO,rotarebiL,rekcolB,Ingredients,成分,Remarks,备注
category,4,,,,,,imal Eggs,伊玛尔蛋,,
item,4,2,,,L,,egg white,蛋清,"Mast cell activating especially raw, but even cooked",尤其生食时会活化肥大细胞；即使煮熟也可能有影响。
item,4,0,,,,,egg yolk,蛋黄,,
item,4,2,,,L,,"eggs, chicken egg, whole egg",鸡蛋、全蛋,"Yolk is compatible. Egg white is mast cell activating especially raw, but even cooked.",蛋黄兼容；蛋清尤其生食时会活化肥大细胞，即使煮熟也可能有影响。
item,4,0,,,,,quail eggs,鹌鹑蛋,,
item,4,0,,,,,quail's egg,鹌鹑蛋,,
category,4,,,,,,Dairy,奶制品,,
item,4,2,H,A,?,,"blue cheeses, mold cheeses",蓝纹奶酪、霉菌奶酪,,
item,4,1,H,A,,,"Butter: cultured butter, mildly soured butter",发酵黄油、微酸黄油,May contain small amounts of histamine. Usually well tolerated.,可能含有少量组胺；通常耐受良好。
item,4,0,,,,,butter: sweet cream butter,甜奶油黄油,"Sweet cream butter is the normal butter, not fermented with bacteria.",甜奶油黄油是普通黄油，不经细菌发酵。
item,4,0,,,,,Butterkaese,黄油,,
item,4,1,H,,,,"buttermilk (slightly sour, starting to ferment)",酪乳（微酸、开始发酵）,Lactic acid fermentation,乳酸发酵。
item,4,2,H,A,,,cheddar cheese,切达奶酪,,
item,4,2,H,A,,,"cheese made from unpasteurised ""raw"" milk","奶酪是用""生""奶做的",Depending on hygiene. Higher risk than for cheese made from pasteurized milk,取决于卫生条件；风险高于巴氏杀菌奶制成的奶酪。
item,4,3,H,A,,,"cheese: hard cheese, all well matured cheeses","奶酪:坚硬的奶酪,所有成熟的奶酪",,
item,4,0,,,,,"cream cheeses (means: very young cheeses), plain, without additives",奶油奶酪（即很年轻的奶酪），原味，不含添加剂,,
item,4,0,,,,,"cream, sweet, without additives",甜奶油，不含添加剂,"Tolerated if unfermented. Always check for additives. Mostly contains intolerated thickeners or stabilizers, e.g. E407, E410!",未发酵时可耐受。务必检查添加剂；常含不耐受的增稠剂或稳定剂，如 E407、E410！
item,4,0,,,,,curd cheese,凝乳干酪,,
item,4,0,,,?,,"ewe's milk, sheep's milk",母羊奶、绵羊奶,,
item,4,0,,,,,farmer's cheese (a type of fresh cheese),农民奶酪(一种新鲜奶酪),,
item,4,1,H,A,,,Feta cheese,菲达奶酪,,
item,4,2,H,A,,,Fontina cheese,丰蒂纳奶酪,,
item,4,0,,,,,"Geheimratskaese, Geheimrats cheese",盖海姆拉特斯开士,,
item,4,0,,,?,,"goat's milk, goat milk",山羊奶,,
item,4,0,,,,,Gouda cheese (young),年轻高达奶酪,Eat small quantities only.,仅少量食用。
item,4,2,,,,,"Gouda cheese, old",陈年高达奶酪,,
item,4,1,H,A,,,"kefir, keefir, kephir",开菲尔,,
item,4,0,,,,,Mascarpone cheese,马斯卡蓬奶酪,,
item,4,1,H,,?,,"milk, lactosefree",无乳糖牛奶,"Sometimes well tolerated, sometimes slightly worse tolerated than regular milk.",有时耐受良好，有时比普通牛奶略难耐受。
item,4,0,,,?,,"milk, pasteurised",巴氏杀菌奶,"Milk may be incompatible, as long as the bowel is still irritated.",只要肠道仍处于刺激状态，牛奶可能不兼容。
item,4,0,,,?,,"milk, UHT",超高温灭菌奶,"UHT = ultra-high temperature processing, ultra-heat treatment",UHT = 超高温处理。
item,4,1,?,,?,,milkpowder,奶粉,"Sometimes well tolerated, sometimes not.",有时耐受良好，有时不耐受。
item,4,2,H,A,?,,"mold cheeses, mould cheeses",霉菌奶酪、霉菌奶酪,,
item,4,0,,,,,Mozzarella cheese,马苏里拉奶酪,,
item,4,2,H,A,,,processed cheese,加工奶酪,,
item,4,2,H,A,,,products made from unprocessed (raw) milk,由未加工(生)奶制成的产品,,
item,4,0,,,,,quark,夸克,,
item,4,2,H,A,,,Raclette cheese,拉克莱特奶酪,,
item,4,0,H!,?,?,,raw milk,生牛奶,Perishable due to higher bacterial count. Use only fresh.,因细菌数较高而易腐败；只使用新鲜品。
item,4,2,?,?,?,,ready made cheese preparations (with other/further ingredients),制成的奶酪制剂(加上其他/进一步成分),Depending on the ingredients and freshness,取决于成分和新鲜度。
item,4,0,,,,,Ricotta cheese,龙卷风奶酪,,
item,4,2,H,A,,,Rochefort cheese,罗什福尔奶酪,,
item,4,2,H,A,,,Roquefort cheese,罗克福芝士,,
item,4,0,,,?,,"sheep's milk, sheep milk","羊奶,羊奶,羊奶,羊奶,羊奶,羊奶,羊奶",,
item,4,1,H,,,,sourcream,酸奶酱,Lactic acid fermentation! Slightly histamine containing,乳酸发酵！含有少量组胺。
item,4,0,,,,,whey,嘘,,
item,4,1,H,?,,,yoghurt (natural yoghurt),酸奶（原味酸奶）,Varies by product,因产品而异。
category,4,,,,,,Meat,肉类,,
item,4,0,H!,,,,beef (fresh),牛肉（新鲜）,,
item,4,0,H!,,,,chicken,鸡肉,,
item,4,3,H,A,?,,dried meat (any kind),干肉(任何种类),,
item,4,3,H,A,?,,dry-cured ham,干烧火腿,,
item,4,0,H!,,,,duck,鸭肉,,
item,4,2,H!,,L,,entrails,内脏,,
item,4,1,H,?,,,game,游戏,"Mostly matured meat, but fresh wild boar is well tolerated.",多为熟成肉；但新鲜野猪肉通常耐受良好。
item,5,3,H,A,?,,"ham (dried, cured)","火腿(干燥,治愈)",,
item,5,2,H!,,L,,innards,内纳,,
item,5,0,,,,,minced meat (if eaten immediately after its production),薄荷肉(如果生产后立即食用),Strongly depends on the freshness,高度取决于新鲜程度。
item,5,2,H,A,,,minced meat (open sale or pre-packed),薄肉(公开销售或预包装),Strongly depends on the freshness,高度取决于新鲜程度。
item,5,0,H!,,,,ostrich,鸟类,,
item,5,1,H!,,?,,pork (fresh and untreated),猪肉（新鲜、未经处理）,Controversial. Mostly well tolerated but very perishable. Histamine liberator -> itching?,存在争议。通常耐受良好，但非常易腐败。可能作为组胺释放剂导致瘙痒？
item,5,0,H!,,,,poultry meat,家禽肉类,,
item,5,0,H!,,,,quail,il,,
item,5,3,H,A,?,,salami,香肠,,
item,5,3,H,?,?,,sausages of all kinds,各种香肠,A few acceptable exceptions are possible.,可能存在少数可接受的例外。
item,5,3,H,?,?,,smoked fish (any),烟鱼(任何),,
item,5,3,H,?,?,,smoked meat (any),烟肉(任何),,
item,5,0,,,,,"tongue (veal, beef)",舌头(牛肉、牛肉),Check for intolerated ingredients if processed ready to eat. No smoked products.,若为即食加工品，请检查是否含不耐受成分。不要选择烟熏制品。
item,5,0,H!,,,,turkey,火鸡肉,,
item,5,0,H!,,,,veal (fresh),小牛肉（新鲜）,,
item,5,1,H,?,,,venison,动物,"Mostly matured meat, but fresh wild boar is well tolerated.",多为熟成肉；但新鲜野猪肉通常耐受良好。
item,5,1,H,?,,,wild meat,野生肉类,"Mostly matured meat, but fresh wild boar is well tolerated.",多为熟成肉；但新鲜野猪肉通常耐受良好。
category,5,,,,,,Fish,鱼,,
item,5,3,H,A,,,anchovies,凤尾鱼,,
item,5,0,H!,A,,,fish (freshly caught or frozen),鱼（刚捕获或冷冻）,Extremely depending on freshness and species,极大程度取决于新鲜度和鱼种。
item,5,3,H!,A,,,fish (in the shop in the cooling rack or on ice),鱼(在冷却架的商店或冰上),Extremely depending on freshness and species,极大程度取决于新鲜度和鱼种。
item,5,0,H!,,,,"trout (freshwater): brown trout, brook trout, rainbow trout",鳟鱼(淡水):棕鳟鱼、溪鳟鱼、虹鳟鱼,Perishable. Rapid histamine formation.,易腐败，会快速形成组胺。
item,5,3,H,A,,,tuna,金枪鱼,,
category,5,,,,,,Sea fo,Sea,,
item,5,2,H!,,L,,"bivalves (mussels, oisters, clams, scallops, ...)","双val(贻贝, o,蛤,扇贝,.",,
item,5,2,H!,,L,,crab,蟹,,
item,5,2,H!,,L,,crab,蟹,,
item,5,2,H!,,L,,crawfish,水龙虾,,
item,5,2,H!,,L,,crayfish,蜡笔鱼,,
item,5,2,H!,,L,,langouste,恶言,,
item,5,2,H!,,L,,lobster,龙虾,,
item,5,2,H!,,L,,oysters,牡蛎,,
item,5,2,H!,,L,,prawn,对虾,,
item,5,2,H!,,L,,rock lobsters,岩龙虾,,
item,5,2,H!,,L,,"seafood, sea food",海产食品、海产食品,,
item,5,2,H!,,L,,shellfish,贝类,"(e.g. mussels, oisters, crab, lobster, shrimp)",（例如贻贝、牡蛎、蟹、龙虾、虾）
item,5,2,H!,,L,,shrimp,虾,,
item,5,2,H!,,L,,spiny lobsters,刺刺龙虾,,
category,5,,,,,,Misce,雾,,
item,5,0,,,,,lard,猪油,,
category,5,,,,,,getab Starc,盖阿布·斯塔克,,
